lat [deg],lon [deg]
36.756,-75.274
36.756,-74.845
36.756,-74.415
36.756,-73.986
36.756,-73.556
36.756,-73.126
36.756,-72.697
36.756,-72.267
36.756,-71.838
36.756,-71.408
36.756,-70.979
36.756,-70.549
36.756,-70.119
36.412,-80.0
36.412,-79.572
36.412,-79.144
36.412,-78.716
36.412,-78.288
36.412,-77.86
36.412,-77.432
36.412,-77.004
36.412,-76.576
36.412,-76.147
36.412,-75.719
36.412,-75.291
36.412,-74.863
36.412,-74.435
36.412,-74.007
36.412,-73.579
36.412,-73.151
36.412,-72.723
36.412,-72.295
36.412,-71.867
36.412,-71.439
36.412,-71.011
36.412,-70.583
36.412,-70.155
36.069,-80.0
36.069,-79.574
36.069,-79.148
36.069,-78.722
36.069,-78.296
36.069,-77.87
36.069,-77.444
36.069,-77.018
36.069,-76.592
36.069,-76.166
36.069,-75.74
36.069,-75.314
36.069,-74.888
36.069,-74.462
36.069,-74.036
36.069,-73.609
36.069,-73.183
36.069,-72.757
36.069,-72.331
36.069,-71.905
36.069,-71.479
36.069,-71.053
36.069,-70.627
36.069,-70.201
35.725,-80.0
35.725,-79.576
35.725,-79.152
35.725,-78.728
35.725,-78.304
35.725,-77.88
35.725,-77.456
35.725,-77.032
35.725,-76.608
35.725,-76.184
35.725,-75.76
35.725,-75.336
35.725,-74.912
35.725,-74.488
35.725,-74.064
35.725,-73.64
35.725,-73.216
35.725,-72.792
35.725,-72.367
35.725,-71.943
35.725,-71.519
35.725,-71.095
35.725,-70.671
35.725,-70.247
35.382,-80.0
35.382,-79.577
35.382,-79.155
35.382,-78.732
35.382,-78.31
35.382,-77.887
35.382,-77.465
35.382,-77.042
35.382,-76.62
35.382,-76.197
35.382,-75.775
35.382,-75.352
35.382,-74.93
35.382,-74.507
35.382,-74.085
35.382,-73.662
35.382,-73.239
35.382,-72.817
35.382,-72.394
35.382,-71.972
35.382,-71.549
35.382,-71.127
35.382,-70.704
35.382,-70.282
35.038,-80.0
35.038,-79.579
35.038,-79.159
35.038,-78.738
35.038,-78.318
35.038,-77.897
35.038,-77.477
35.038,-77.056
35.038,-76.636
35.038,-76.215
35.038,-75.794
35.038,-75.374
35.038,-74.953
35.038,-74.533
35.038,-74.112
35.038,-73.692
35.038,-73.271
35.038,-72.85
35.038,-72.43
35.038,-72.009
35.038,-71.589
35.038,-71.168
35.038,-70.748
35.038,-70.327
